Date,Price,Open,High,Low,Vol.,Change %
07-07-2022,429.52,418.61,431.62,418.01,17620000.00,3.48%
08-07-2022,440.19,434.91,442.48,427.98,23730000.00,2.48%
11-07-2022,435.71,436.70,439.84,432.12,12620000.00,-1.02%
12-07-2022,429.23,431.67,433.66,426.83,9520000.00,-1.49%
13-07-2022,425.79,431.37,434.51,424.34,10180000.00,-0.80%
14-07-2022,426.73,426.68,429.92,422.00,10740000.00,0.22%
15-07-2022,438.85,429.33,440.39,428.38,15770000.00,2.84%
18-07-2022,449.51,442.58,452.40,441.84,21190000.00,2.43%
19-07-2022,447.67,445.38,450.46,443.08,11550000.00,-0.41%
20-07-2022,452.05,452.95,459.33,450.36,17150000.00,0.98%
21-07-2022,453.45,451.56,454.10,448.71,10930000.00,0.31%
22-07-2022,453.50,455.20,458.54,450.91,10340000.00,0.01%
25-07-2022,448.17,454.60,456.19,444.93,12510000.00,-1.18%
26-07-2022,439.79,447.32,447.32,438.40,11560000.00,-1.87%
27-07-2022,442.68,439.79,443.63,434.76,10080000.00,0.66%
28-07-2022,440.89,438.90,447.87,426.08,36380000.00,-0.41%
29-07-2022,448.22,443.78,451.31,443.78,16000000.00,1.66%
01-08-2022,477.73,450.56,479.52,449.66,43080000.00,6.58%
02-08-2022,474.79,477.43,478.42,467.81,19070000.00,-0.62%
03-08-2022,466.36,473.54,474.79,458.19,19130000.00,-1.77%
04-08-2022,467.46,471.70,472.49,455.05,18540000.00,0.24%
05-08-2022,463.82,467.46,471.45,462.57,11920000.00,-0.78%
08-08-2022,466.81,464.57,470.45,463.02,10560000.00,0.64%
10-08-2022,474.09,468.55,475.73,461.92,13360000.00,1.56%
11-08-2022,475.18,481.07,483.51,474.14,12780000.00,0.23%
12-08-2022,476.08,474.29,479.97,468.55,13480000.00,0.19%
16-08-2022,488.34,478.13,489.89,476.73,16800000.00,2.58%
17-08-2022,483.91,489.39,492.88,482.71,15950000.00,-0.91%
18-08-2022,483.31,482.51,485.30,477.78,12070000.00,-0.12%
19-08-2022,469.55,485.25,486.60,466.66,16640000.00,-2.85%
22-08-2022,453.20,467.06,467.51,451.16,15050000.00,-3.48%
23-08-2022,459.03,447.62,460.68,446.22,17780000.00,1.29%
24-08-2022,461.77,457.59,463.47,456.29,12210000.00,0.60%
25-08-2022,457.79,464.57,467.36,455.99,11260000.00,-0.86%
26-08-2022,463.62,463.57,469.00,462.52,11250000.00,1.27%
29-08-2022,451.95,449.61,455.49,448.77,11650000.00,-2.52%
30-08-2022,469.65,457.24,470.95,455.69,14420000.00,3.92%
01-09-2022,465.46,461.08,472.94,460.73,13390000.00,-0.89%
02-09-2022,460.33,469.40,470.35,458.73,10810000.00,-1.10%
05-09-2022,457.59,458.34,462.52,455.59,9380000.00,-0.60%
06-09-2022,456.34,461.28,462.27,455.20,9810000.00,-0.27%
07-09-2022,444.48,451.81,455.10,442.29,20760000.00,-2.60%
08-09-2022,440.84,451.06,451.16,438.65,19340000.00,-0.82%
09-09-2022,444.53,446.12,448.27,439.24,14290000.00,0.84%
12-09-2022,449.61,446.32,451.61,445.63,8960000.00,1.14%
13-09-2022,455.39,452.90,457.54,452.15,10660000.00,1.29%
14-09-2022,448.82,446.22,453.30,445.63,10360000.00,-1.44%
15-09-2022,445.87,451.01,454.45,444.68,10360000.00,-0.66%
16-09-2022,431.17,444.63,445.03,427.78,20990000.00,-3.30%
19-09-2022,424.14,430.17,430.27,422.75,15240000.00,-1.63%
20-09-2022,432.91,429.27,441.99,429.27,17560000.00,2.07%
21-09-2022,426.33,432.61,434.66,424.19,10830000.00,-1.52%
22-09-2022,430.87,423.69,433.26,421.25,13600000.00,1.06%
23-09-2022,421.80,430.57,430.57,419.26,13440000.00,-2.11%
26-09-2022,396.28,414.72,416.61,391.94,33230000.00,-6.05%
27-09-2022,397.57,402.66,402.76,389.15,21930000.00,0.33%
28-09-2022,397.87,393.68,405.35,391.64,18110000.00,0.08%
29-09-2022,401.01,409.74,411.98,398.37,20730000.00,0.79%
30-09-2022,403.36,396.78,406.99,391.29,20950000.00,0.58%
03-10-2022,396.43,404.25,405.30,394.28,20330000.00,-1.72%
04-10-2022,406.64,404.75,407.69,401.66,12760000.00,2.58%
06-10-2022,412.83,408.34,416.36,408.24,12770000.00,1.52%
07-10-2022,410.88,412.13,412.73,407.44,10670000.00,-0.47%
10-10-2022,394.73,402.16,402.16,391.84,32910000.00,-3.93%
11-10-2022,392.14,395.78,398.27,390.10,14640000.00,-0.66%
12-10-2022,395.33,393.34,396.98,389.90,14290000.00,0.81%
13-10-2022,397.77,395.33,402.26,393.34,12580000.00,0.62%
14-10-2022,395.03,405.75,407.94,394.08,12880000.00,-0.69%
17-10-2022,394.88,392.79,397.67,391.29,9540000.00,-0.04%
18-10-2022,403.01,399.77,405.45,399.47,14220000.00,2.06%
19-10-2022,397.82,404.95,405.70,396.08,8650000.00,-1.29%
20-10-2022,396.88,395.78,398.67,391.89,10750000.00,-0.24%
21-10-2022,396.83,395.78,401.01,393.49,10280000.00,-0.01%
24-10-2022,400.36,404.75,404.75,398.92,2870000.00,0.89%
25-10-2022,403.31,403.11,409.24,401.96,17980000.00,0.73%
27-10-2022,406.45,407.29,410.43,402.76,14610000.00,0.78%
28-10-2022,408.64,406.74,409.93,404.85,12490000.00,0.54%
31-10-2022,411.48,413.08,415.02,410.33,9930000.00,0.70%
01-11-2022,420.05,413.62,421.10,411.53,17320000.00,2.08%
02-11-2022,420.85,421.75,423.79,418.86,12430000.00,0.19%
03-11-2022,414.97,418.11,422.00,413.23,10990000.00,-1.40%
04-11-2022,424.04,416.91,424.69,415.62,12280000.00,2.19%
07-11-2022,433.66,426.93,436.15,426.93,15060000.00,2.27%
09-11-2022,431.82,437.85,439.84,430.67,14470000.00,-0.43%
10-11-2022,410.93,419.21,419.26,407.94,26250000.00,-4.84%
11-11-2022,422.20,418.71,424.19,413.42,19300000.00,2.74%
14-11-2022,432.37,422.70,436.35,422.20,18000000.00,2.41%
15-11-2022,435.80,433.56,437.15,432.77,10700000.00,0.80%
16-11-2022,430.22,435.61,436.85,428.28,8210000.00,-1.28%
17-11-2022,421.85,420.70,426.23,418.31,15620000.00,-1.95%
18-11-2022,422.50,422.70,425.14,419.86,9850000.00,0.15%
21-11-2022,419.80,424.29,426.29,418.71,9500000.00,-0.64%
22-11-2022,423.39,419.70,425.09,419.21,6410000.00,0.85%
23-11-2022,422.75,425.54,427.98,421.55,6570000.00,-0.15%
24-11-2022,422.10,423.19,423.94,419.41,6770000.00,-0.15%
25-11-2022,431.87,423.69,433.81,422.70,18760000.00,2.31%
28-11-2022,431.92,433.66,438.99,431.07,10700000.00,0.01%
29-11-2022,431.82,431.17,436.55,428.23,8630000.00,-0.02%
30-11-2022,438.05,433.66,439.64,431.97,14730000.00,1.44%
01-12-2022,436.90,441.64,442.23,435.51,8910000.00,-0.26%
02-12-2022,434.06,437.65,439.79,433.66,8350000.00,-0.65%
05-12-2022,427.43,434.16,436.15,426.48,12860000.00,-1.53%
06-12-2022,425.79,427.48,430.02,424.04,8460000.00,-0.38%
07-12-2022,418.81,426.68,426.68,417.81,12130000.00,-1.64%
08-12-2022,415.92,419.70,420.10,414.07,9540000.00,-0.69%
09-12-2022,412.03,418.01,419.65,408.29,9920000.00,-0.93%
12-12-2022,412.88,410.73,415.62,406.74,8010000.00,0.21%
13-12-2022,417.21,418.66,420.20,415.97,9720000.00,1.05%
14-12-2022,416.61,419.26,420.05,416.07,6310000.00,-0.14%
15-12-2022,415.42,417.56,421.50,414.42,7540000.00,-0.29%
16-12-2022,420.30,416.07,426.48,411.83,50950000.00,1.18%
19-12-2022,416.71,420.60,421.55,414.22,9810000.00,-0.85%
20-12-2022,409.24,416.71,416.71,406.74,12340000.00,-1.79%
21-12-2022,401.36,411.33,413.13,399.77,11610000.00,-1.92%
22-12-2022,393.24,402.86,403.45,389.00,14910000.00,-2.02%
23-12-2022,377.19,388.80,388.80,375.84,19900000.00,-4.08%
26-12-2022,383.62,379.08,389.50,374.05,16980000.00,1.70%
27-12-2022,392.94,388.80,396.23,387.30,14370000.00,2.43%
28-12-2022,390.10,392.79,394.68,389.20,8440000.00,-0.72%
29-12-2022,384.71,387.80,388.80,381.87,15630000.00,-1.38%
30-12-2022,386.76,389.80,390.99,385.81,9200000.00,0.53%
02-01-2023,393.59,391.29,394.78,389.80,10500000.00,1.77%
